|     NOME ISTANZA                           | |TEMPO       | |VALORE SOLUZIONE| |BEST BOUND  | |STATO       | |NUMERO NODI | |NUMERO ARCHI| |IS VERTEX COVER| |IS CONNECTED VERTEX COVER     |
24 VC:  |out.edit-nawikibooks                | |0,012       | |48,000000       | |48,000000   | |Optimal     | |250         | |277         | |true           | |false       |
24 CVC: |out.edit-nawikibooks                | |1,334       | |49,000000       | |49,000000   | |Optimal     | |250         | |277         | |true           | |true        |

25 VC:  |out.edit-vowikibooks                | |0,008       | |67,000000       | |67,000000   | |Optimal     | |305         | |345         | |true           | |false       |
25 CVC: |out.edit-vowikibooks                | |1,529       | |79,000000       | |79,000000   | |Optimal     | |305         | |345         | |true           | |true        |

26 VC:  |out.hiv                             | |0,007       | |16,000000       | |16,000000   | |Optimal     | |40          | |41          | |true           | |false       |
26 CVC: |out.hiv                             | |0,055       | |18,000000       | |18,000000   | |Optimal     | |40          | |41          | |true           | |true        |

27 VC:  |out.iceland                         | |0,010       | |18,000000       | |18,000000   | |Optimal     | |75          | |114         | |true           | |false       |
27 CVC: |out.iceland                         | |0,082       | |19,000000       | |19,000000   | |Optimal     | |75          | |114         | |true           | |true        |

28 VC:  |out.maayan-faa                      | |0,077       | |555,000000      | |555,000000  | |Optimal     | |1226        | |2408        | |true           | |false       |
28 CVC: |out.maayan-faa                      | |36,048      | |632,000000      | |632,000000  | |Optimal     | |1226        | |2408        | |true           | |true        |

29 VC:  |out.moreno_crime_crime              | |0,018       | |344,000000      | |344,000000  | |Optimal     | |829         | |1473        | |true           | |false       |
29 CVC: |out.moreno_crime_crime              | |5,024       | |353,000000      | |353,000000  | |Optimal     | |829         | |1473        | |true           | |true        |

30 VC:  |prisoninter_st.txt                  | |0,030       | |41,000000       | |41,000000   | |Optimal     | |67          | |142         | |true           | |false       |
30 CVC: |prisoninter_st.txt                  | |0,186       | |42,000000       | |42,000000   | |Optimal     | |67          | |142         | |true           | |true        |

31 VC:  |s208_st.txt                         | |0,032       | |63,000000       | |63,000000   | |Optimal     | |122         | |189         | |true           | |false       |
31 CVC: |s208_st.txt                         | |0,782       | |69,000000       | |69,000000   | |Optimal     | |122         | |189         | |true           | |true        |

32 VC:  |s838_st.txt                         | |0,055       | |252,000000      | |252,000000  | |Optimal     | |512         | |819         | |true           | |false       |
32 CVC: |s838_st.txt                         | |301,143     | |468,000000      | |287,666667  | |Feasible    | |512         | |819         | |true           | |true        |

33 VC:  |USairport500.txt                    | |0,060       | |198,000000      | |198,000000  | |Optimal     | |500         | |2980        | |true           | |false       |
33 CVC: |USairport500.txt                    | |7,225       | |201,000000      | |201,000000  | |Optimal     | |500         | |2980        | |true           | |true        |
